Work setting,Occupation,2019 O*NET SOC Code,2019 O*NET SOC Title
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Janitor or maintenance,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Janitor or maintenance,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Janitor or maintenance,37-2012.00,Maids and Housekeeping Cleaners
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Janitor or maintenance,37-2019.00,"Building Cleaning Workers, All Other"
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Administrative staff,13-1121.00,"Meeting, Convention, and Event Planners"
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Administrative staff,15-1299.03,Document Management Specialists
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Administrative staff,43-2011.00,"Switchboard Operators, Including Answering Service"
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Administrative staff,43-2021.00,Telephone Operators
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Administrative staff,43-2099.00,"Communications Equipment Operators, All Other"
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Administrative staff,43-4171.00,Receptionists and Information Clerks
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Administrative staff,43-6011.00,Executive Secretaries and Executive Administrative Assistants
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Administrative staff,43-6012.00,Legal Secretaries and Administrative Assistants
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Administrative staff,43-6013.00,Medical Secretaries and Administrative Assistants
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Administrative staff,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Administrative staff,43-9021.00,Data Entry Keyers
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Administrative staff,43-9022.00,Word Processors and Typists
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Administrative staff,43-9031.00,Desktop Publishers
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Administrative staff,43-9199.00,"Office and Administrative Support Workers, All Other"
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Other,11-2011.00,Advertising and Promotions Managers
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Other,11-2021.00,Marketing Managers
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Other,13-1161.00,Market Research Analysts and Marketing Specialists
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Other,13-1161.01,Search Marketing Strategists
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Other,11-3111.00,Compensation and Benefits Managers
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Other,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Other,11-9179.02,Spa Managers
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Other,11-9199.01,Regulatory Affairs Managers
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Other,11-9199.02,Compliance Managers
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Other,11-9199.08,Loss Prevention Managers
,,,
,,,
Physical Therapy / Chiropractic,Chiropractor,29-1011.00,Chiropractors
Physical Therapy / Chiropractic,Physical therapist,29-1123.00,Physical Therapists
Physical Therapy / Chiropractic,Exercise physiologist,29-1128.00,Exercise Physiologists
Physical Therapy / Chiropractic,Sports medicine physician,29-1229.06,Sports Medicine Physicians
Physical Therapy / Chiropractic,Physical medicine and rehabilitation,29-1229.04,Physical Medicine and Rehabilitation Physicians
Physical Therapy / Chiropractic,Athletic trainer,29-9091.00,Athletic Trainers
Physical Therapy / Chiropractic,Athletic trainer,39-9031.00,Exercise Trainers and Group Fitness Instructors
Physical Therapy / Chiropractic,Occupational therapist,29-1122.00,Occupational Therapists
Physical Therapy / Chiropractic,Occupational therapist,31-2011.00,Occupational Therapy Assistants
Physical Therapy / Chiropractic,Occupational therapist,31-2012.00,Occupational Therapy Aides
Physical Therapy / Chiropractic,Physical therapist assistant or aide,31-2021.00,Physical Therapist Assistants
Physical Therapy / Chiropractic,Physical therapist assistant or aide,31-2022.00,Physical Therapist Aides
Physical Therapy / Chiropractic,Recreation therapist,29-1125.00,Recreational Therapists
Physical Therapy / Chiropractic,Janitor or maintenance,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Physical Therapy / Chiropractic,Janitor or maintenance,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Physical Therapy / Chiropractic,Janitor or maintenance,37-2019.00,"Building Cleaning Workers, All Other"
Physical Therapy / Chiropractic,Administrative staff,15-1299.03,Document Management Specialists
Physical Therapy / Chiropractic,Administrative staff,19-3032.00,Industrial-Organizational Psychologists
Physical Therapy / Chiropractic,Administrative staff,31-9094.00,Medical Transcriptionists
Physical Therapy / Chiropractic,Administrative staff,43-2011.00,"Switchboard Operators, Including Answering Service"
Physical Therapy / Chiropractic,Administrative staff,43-2021.00,Telephone Operators
Physical Therapy / Chiropractic,Administrative staff,43-2099.00,"Communications Equipment Operators, All Other"
Physical Therapy / Chiropractic,Administrative staff,43-4171.00,Receptionists and Information Clerks
Physical Therapy / Chiropractic,Administrative staff,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Physical Therapy / Chiropractic,Administrative staff,43-6012.00,Legal Secretaries and Administrative Assistants
Physical Therapy / Chiropractic,Administrative staff,43-6013.00,Medical Secretaries and Administrative Assistants
Physical Therapy / Chiropractic,Administrative staff,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Physical Therapy / Chiropractic,Administrative staff,43-9021.00,Data Entry Keyers
Physical Therapy / Chiropractic,Administrative staff,43-9022.00,Word Processors and Typists
Physical Therapy / Chiropractic,Administrative staff,43-9031.00,Desktop Publishers
Physical Therapy / Chiropractic,Administrative staff,43-9199.00,"Office and Administrative Support Workers, All Other"
Physical Therapy / Chiropractic,Other,11-2011.00,Advertising and Promotions Managers
Physical Therapy / Chiropractic,Other,11-2021.00,Marketing Managers
Physical Therapy / Chiropractic,Other,13-1161.00,Market Research Analysts and Marketing Specialists
Physical Therapy / Chiropractic,Other,13-1161.01,Search Marketing Strategists
Physical Therapy / Chiropractic,Other,11-3111.00,Compensation and Benefits Managers
Physical Therapy / Chiropractic,Other,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
Physical Therapy / Chiropractic,Other,11-9199.01,Regulatory Affairs Managers
Physical Therapy / Chiropractic,Other,11-9199.02,Compliance Managers
Physical Therapy / Chiropractic,Other,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
Physical Therapy / Chiropractic,Other,29-1126.00,Respiratory Therapists
Physical Therapy / Chiropractic,Other,29-1129.00,"Therapists, All Other"
Physical Therapy / Chiropractic,Other,31-9093.00,Medical Equipment Preparers
,,,
,,,
Restaurant or Bar,Chef or cook,35-1011.00,Chefs and Head Cooks
Restaurant or Bar,Chef or cook,35-2011.00,"Cooks, Fast Food"
Restaurant or Bar,Chef or cook,35-2012.00,"Cooks, Institution and Cafeteria"
Restaurant or Bar,Chef or cook,35-2013.00,"Cooks, Private Household"
Restaurant or Bar,Chef or cook,35-2014.00,"Cooks, Restaurant"
Restaurant or Bar,Chef or cook,35-2015.00,"Cooks, Short Order"
Restaurant or Bar,Chef or cook,35-2019.00,"Cooks, All Other"
Restaurant or Bar,Chef or cook,35-2021.00,Food Preparation Workers
Restaurant or Bar,Bartender,35-3011.00,Bartenders
Restaurant or Bar,Bartender,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
Restaurant or Bar,Fast food / counter worker,35-2011.00,"Cooks, Fast Food"
Restaurant or Bar,Fast food / counter worker,35-3023.00,Fast Food and Counter Workers
Restaurant or Bar,Barista,35-3023.01,Baristas
Restaurant or Bar,Server (waiter or waitress),35-3031.00,Waiters and Waitresses
Restaurant or Bar,Server (waiter or waitress),35-3041.00,"Food Servers, Nonrestaurant"
Restaurant or Bar,Host or hostess,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
Restaurant or Bar,Busser or cafeteria attendant,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
Restaurant or Bar,Dishwasher,35-9021.00,Dishwashers
Restaurant or Bar,"Butcher, baker, or food handler",35-2021.00,Food Preparation Workers
Restaurant or Bar,"Butcher, baker, or food handler",51-3011.00,Bakers
Restaurant or Bar,"Butcher, baker, or food handler",51-3021.00,Butchers and Meat Cutters
Restaurant or Bar,Supervisor,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
Restaurant or Bar,Supervisor,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
Restaurant or Bar,Janitor or maintenance,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Restaurant or Bar,Janitor or maintenance,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Restaurant or Bar,Janitor or maintenance,37-2012.00,Maids and Housekeeping Cleaners
Restaurant or Bar,Janitor or maintenance,37-2019.00,"Building Cleaning Workers, All Other"
Restaurant or Bar,Administrative staff,13-1121.00,"Meeting, Convention, and Event Planners"
Restaurant or Bar,Administrative staff,15-1299.03,Document Management Specialists
Restaurant or Bar,Administrative staff,19-3032.00,Industrial-Organizational Psychologists
Restaurant or Bar,Administrative staff,43-2011.00,"Switchboard Operators, Including Answering Service"
Restaurant or Bar,Administrative staff,43-2021.00,Telephone Operators
Restaurant or Bar,Administrative staff,43-2099.00,"Communications Equipment Operators, All Other"
Restaurant or Bar,Administrative staff,43-4171.00,Receptionists and Information Clerks
Restaurant or Bar,Administrative staff,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Restaurant or Bar,Administrative staff,43-6012.00,Legal Secretaries and Administrative Assistants
Restaurant or Bar,Administrative staff,43-6013.00,Medical Secretaries and Administrative Assistants
Restaurant or Bar,Administrative staff,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Restaurant or Bar,Administrative staff,43-9021.00,Data Entry Keyers
Restaurant or Bar,Administrative staff,43-9022.00,Word Processors and Typists
Restaurant or Bar,Administrative staff,43-9031.00,Desktop Publishers
Restaurant or Bar,Administrative staff,43-9199.00,"Office and Administrative Support Workers, All Other"
Restaurant or Bar,Other,11-2011.00,Advertising and Promotions Managers
Restaurant or Bar,Other,11-2021.00,Marketing Managers
Restaurant or Bar,Other,13-1161.00,Market Research Analysts and Marketing Specialists
Restaurant or Bar,Other,13-1161.01,Search Marketing Strategists
Restaurant or Bar,Other,11-9051.00,Food Service Managers
Restaurant or Bar,Other,11-3061.00,Purchasing Managers
Restaurant or Bar,Other,11-9199.01,Regulatory Affairs Managers
Restaurant or Bar,Other,11-9199.08,Loss Prevention Managers
Restaurant or Bar,Other,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
Restaurant or Bar,Other,19-4013.00,Food Science Technicians
Restaurant or Bar,Other,35-2021.00,Food Preparation Workers
Restaurant or Bar,Other,35-9099.00,"Food Preparation and Serving Related Workers, All Other"
,,,
,,,
Grocery Store,Cashier,41-2011.00,Cashiers
Grocery Store,Bagger or attendant,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
Grocery Store,Food preparer or server,19-4013.00,Food Science Technicians
Grocery Store,Food preparer or server,51-3021.00,Butchers and Meat Cutters
Grocery Store,Food preparer or server,35-2021.00,Food Preparation Workers
Grocery Store,Food preparer or server,35-9099.00,"Food Preparation and Serving Related Workers, All Other"
Grocery Store,Food preparer or server,35-2012.00,"Cooks, Institution and Cafeteria"
Grocery Store,Supervisor,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Grocery Store,Supervisor,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
Grocery Store,"Shipping, receiving, or inventory",11-3061.00,Purchasing Managers
Grocery Store,"Shipping, receiving, or inventory",11-3071.00,"Transportation, Storage, and Distribution Managers"
Grocery Store,"Shipping, receiving, or inventory",11-3071.04,Supply Chain Managers
Grocery Store,"Shipping, receiving, or inventory",43-5011.00,Cargo and Freight Agents
Grocery Store,"Shipping, receiving, or inventory",43-5011.01,Freight Forwarders
Grocery Store,"Shipping, receiving, or inventory",43-5071.00,"Shipping, Receiving, and Inventory Clerks"
Grocery Store,"Shipping, receiving, or inventory",43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Grocery Store,"Shipping, receiving, or inventory",13-1081.00,Logisticians
Grocery Store,"Shipping, receiving, or inventory",13-1081.01,Logistics Engineers
Grocery Store,"Shipping, receiving, or inventory",13-1081.02,Logistics Analysts
Grocery Store,Janitor or maintenance,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Grocery Store,Janitor or maintenance,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Grocery Store,Janitor or maintenance,37-2019.00,"Building Cleaning Workers, All Other"
Grocery Store,Administrative staff,13-1082.00,Project Management Specialists
Grocery Store,Administrative staff,13-1121.00,"Meeting, Convention, and Event Planners"
Grocery Store,Administrative staff,15-1299.03,Document Management Specialists
Grocery Store,Administrative staff,19-3032.00,Industrial-Organizational Psychologists
Grocery Store,Administrative staff,43-2011.00,"Switchboard Operators, Including Answering Service"
Grocery Store,Administrative staff,43-2021.00,Telephone Operators
Grocery Store,Administrative staff,43-2099.00,"Communications Equipment Operators, All Other"
Grocery Store,Administrative staff,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
Grocery Store,Administrative staff,43-3051.00,Payroll and Timekeeping Clerks
Grocery Store,Administrative staff,43-4141.00,New Accounts Clerks
Grocery Store,Administrative staff,43-4151.00,Order Clerks
Grocery Store,Administrative staff,43-4171.00,Receptionists and Information Clerks
Grocery Store,Administrative staff,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Grocery Store,Administrative staff,43-6012.00,Legal Secretaries and Administrative Assistants
Grocery Store,Administrative staff,43-6013.00,Medical Secretaries and Administrative Assistants
Grocery Store,Administrative staff,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Grocery Store,Administrative staff,43-9021.00,Data Entry Keyers
Grocery Store,Administrative staff,43-9022.00,Word Processors and Typists
Grocery Store,Administrative staff,43-9031.00,Desktop Publishers
Grocery Store,Administrative staff,43-9199.00,"Office and Administrative Support Workers, All Other"
Grocery Store,Other,13-1199.06,Online Merchants
Grocery Store,Other,11-2021.00,Marketing Managers
Grocery Store,Other,13-1161.00,Market Research Analysts and Marketing Specialists
Grocery Store,Other,13-1161.01,Search Marketing Strategists
Grocery Store,Other,11-9051.00,Food Service Managers
Grocery Store,Other,11-9199.01,Regulatory Affairs Managers
Grocery Store,Other,11-9199.08,Loss Prevention Managers
Grocery Store,Other,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
Grocery Store,Other,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
Grocery Store,Other,41-9011.00,Demonstrators and Product Promoters
,,,
,,,
Retail,Cashier,41-2011.00,Cashiers
Retail,Counter or rental clerk,41-2021.00,Counter and Rental Clerks
Retail,Loss prevention specialist,33-9099.02,Retail Loss Prevention Specialists
Retail,Supervisor,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Retail,Supervisor,41-1011.00,First-Line Supervisors of Retail Sales Workers
Retail,Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
Retail,Supervisor,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
Retail,Door-to-door sales,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
Retail,General sales,11-2022.00,Sales Managers
Retail,General sales,13-1051.00,Cost Estimators
Retail,General sales,13-1199.06,Online Merchants
Retail,General sales,41-2031.00,Retail Salespersons
Retail,General sales,41-3011.00,Advertising Sales Agents
Retail,General sales,41-3021.00,Insurance Sales Agents
Retail,General sales,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
Retail,General sales,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
Retail,General sales,41-9041.00,Telemarketers
Retail,General sales,41-9099.00,"Sales and Related Workers, All Other"
Retail,Customer service representative,11-3111.00,Compensation and Benefits Managers
Retail,Customer service representative,43-4051.00,Customer Service Representatives
Retail,"Shipping, receiving, inventory",11-3061.00,Purchasing Managers
Retail,"Shipping, receiving, inventory",11-3071.00,"Transportation, Storage, and Distribution Managers"
Retail,"Shipping, receiving, inventory",11-3071.04,Supply Chain Managers
Retail,"Shipping, receiving, inventory",43-5011.00,Cargo and Freight Agents
Retail,"Shipping, receiving, inventory",43-5011.01,Freight Forwarders
Retail,"Shipping, receiving, inventory",43-5071.00,"Shipping, Receiving, and Inventory Clerks"
Retail,"Shipping, receiving, inventory",43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Retail,"Shipping, receiving, inventory",13-1081.00,Logisticians
Retail,"Shipping, receiving, inventory",13-1081.01,Logistics Engineers
Retail,"Shipping, receiving, inventory",13-1081.02,Logistics Analysts
Retail,Janitor or maintenance,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Retail,Janitor or maintenance,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Retail,Janitor or maintenance,37-2019.00,"Building Cleaning Workers, All Other"
Retail,Administrative staff,13-1161.00,Market Research Analysts and Marketing Specialists
Retail,Administrative staff,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
Retail,Administrative staff,13-1082.00,Project Management Specialists
Retail,Administrative staff,13-1121.00,"Meeting, Convention, and Event Planners"
Retail,Administrative staff,15-1299.03,Document Management Specialists
Retail,Administrative staff,19-3032.00,Industrial-Organizational Psychologists
Retail,Administrative staff,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
Retail,Administrative staff,43-2011.00,"Switchboard Operators, Including Answering Service"
Retail,Administrative staff,43-2021.00,Telephone Operators
Retail,Administrative staff,43-2099.00,"Communications Equipment Operators, All Other"
Retail,Administrative staff,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
Retail,Administrative staff,43-3051.00,Payroll and Timekeeping Clerks
Retail,Administrative staff,43-4141.00,New Accounts Clerks
Retail,Administrative staff,43-4151.00,Order Clerks
Retail,Administrative staff,43-4171.00,Receptionists and Information Clerks
Retail,Administrative staff,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Retail,Administrative staff,43-6012.00,Legal Secretaries and Administrative Assistants
Retail,Administrative staff,43-6013.00,Medical Secretaries and Administrative Assistants
Retail,Administrative staff,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Retail,Administrative staff,43-9021.00,Data Entry Keyers
Retail,Administrative staff,43-9022.00,Word Processors and Typists
Retail,Administrative staff,43-9031.00,Desktop Publishers
Retail,Administrative staff,43-9199.00,"Office and Administrative Support Workers, All Other"
Retail,Administrative staff,19-3011.00,Economists
Retail,Other,11-2011.00,Advertising and Promotions Managers
Retail,Other,11-2021.00,Marketing Managers
Retail,Other,13-1161.00,Market Research Analysts and Marketing Specialists
Retail,Other,13-1161.01,Search Marketing Strategists
Retail,Other,11-9199.01,Regulatory Affairs Managers
Retail,Other,11-9199.08,Loss Prevention Managers
Retail,Other,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
Retail,Other,41-9011.00,Demonstrators and Product Promoters
,,,
,,,
Construction / Trades,On-site supervisor,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Construction / Trades,On-site supervisor,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
Construction / Trades,On-site supervisor,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
Construction / Trades,On-site supervisor,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
Construction / Trades,On-site supervisor,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
Construction / Trades,On-site supervisor,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
Construction / Trades,On-site supervisor,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
Construction / Trades,On-site labor / landscape / craft / trade,47-2061.00,Construction Laborers
Construction / Trades,On-site labor / landscape / craft / trade,37-3019.00,"Grounds Maintenance Workers, All Other"
Construction / Trades,On-site labor / landscape / craft / trade,37-2021.00,Pest Control Workers
Construction / Trades,On-site labor / landscape / craft / trade,37-3011.00,Landscaping and Groundskeeping Workers
Construction / Trades,On-site labor / landscape / craft / trade,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
Construction / Trades,On-site labor / landscape / craft / trade,37-3013.00,Tree Trimmers and Pruners
Construction / Trades,"Farming, fishing, or forestry",11-9121.02,Water Resource Specialists
Construction / Trades,"Farming, fishing, or forestry",13-1074.00,Farm Labor Contractors
Construction / Trades,"Farming, fishing, or forestry",19-1031.02,Range Managers
Construction / Trades,"Farming, fishing, or forestry",19-1031.03,Park Naturalists
Construction / Trades,"Farming, fishing, or forestry",19-1032.00,Foresters
Construction / Trades,"Farming, fishing, or forestry",19-4071.00,Forest and Conservation Technicians
Construction / Trades,"Farming, fishing, or forestry",45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
Construction / Trades,"Farming, fishing, or forestry",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
Construction / Trades,"Farming, fishing, or forestry",45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
Construction / Trades,"Farming, fishing, or forestry",45-2099.00,"Agricultural Workers, All Other"
Construction / Trades,"Farming, fishing, or forestry",45-3031.00,Fishing and Hunting Workers
Construction / Trades,"Farming, fishing, or forestry",45-4011.00,Forest and Conservation Workers
Construction / Trades,"Farming, fishing, or forestry",45-4021.00,Fallers
Construction / Trades,"Farming, fishing, or forestry",45-4022.00,Logging Equipment Operators
Construction / Trades,"Farming, fishing, or forestry",45-4023.00,Log Graders and Scalers
Construction / Trades,"Farming, fishing, or forestry",45-4029.00,"Logging Workers, All Other"
Construction / Trades,"Farming, fishing, or forestry",11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Construction / Trades,Plumbing or septic,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
Construction / Trades,Plumbing or septic,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
Construction / Trades,Electrician,17-2071.00,Electrical Engineers
Construction / Trades,Electrician,43-5041.00,"Meter Readers, Utilities"
Construction / Trades,Electrician,47-2111.00,Electricians
Construction / Trades,Electrician,49-2091.00,Avionics Technicians
Construction / Trades,Electrician,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
Construction / Trades,Electrician,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
Construction / Trades,Electrician,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
Construction / Trades,Electrician,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
Construction / Trades,Automotive body and related repair,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
Construction / Trades,Automotive body and related repair,13-1032.00,"Insurance Appraisers, Auto Damage"
Construction / Trades,Automotive body and related repair,41-2021.00,Counter and Rental Clerks
Construction / Trades,Automotive body and related repair,41-2022.00,Parts Salespersons
Construction / Trades,Automotive body and related repair,49-3043.00,Rail Car Repairers
Construction / Trades,Automotive body and related repair,49-3092.00,Recreational Vehicle Service Technicians
Construction / Trades,Automotive body and related repair,49-3093.00,Tire Repairers and Changers
Construction / Trades,Automotive body and related repair,51-9197.00,Tire Builders
Construction / Trades,Automotive body and related repair,53-7061.00,Cleaners of Vehicles and Equipment
Construction / Trades,"Motorcycle, bicycle, other auto repair",13-1032.00,"Insurance Appraisers, Auto Damage"
Construction / Trades,"Motorcycle, bicycle, other auto repair",41-2021.00,Counter and Rental Clerks
Construction / Trades,"Motorcycle, bicycle, other auto repair",41-2022.00,Parts Salespersons
Construction / Trades,"Motorcycle, bicycle, other auto repair",49-3051.00,Motorboat Mechanics and Service Technicians
Construction / Trades,"Motorcycle, bicycle, other auto repair",49-3052.00,Motorcycle Mechanics
Construction / Trades,"Motorcycle, bicycle, other auto repair",49-3091.00,Bicycle Repairers
Construction / Trades,"Motorcycle, bicycle, other auto repair",49-3093.00,Tire Repairers and Changers
Construction / Trades,"Motorcycle, bicycle, other auto repair",51-9197.00,Tire Builders
Construction / Trades,"Motorcycle, bicycle, other auto repair",53-6031.00,Automotive and Watercraft Service Attendants
Construction / Trades,"Installation, maintenance, or repair worker",41-2021.00,Counter and Rental Clerks
Construction / Trades,"Installation, maintenance, or repair worker",47-2041.00,Carpet Installers
Construction / Trades,"Installation, maintenance, or repair worker",47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
Construction / Trades,"Installation, maintenance, or repair worker",47-2043.00,Floor Sanders and Finishers
Construction / Trades,"Installation, maintenance, or repair worker",47-2044.00,Tile and Stone Setters
Construction / Trades,"Installation, maintenance, or repair worker",47-2051.00,Cement Masons and Concrete Finishers
Construction / Trades,"Installation, maintenance, or repair worker",47-2053.00,Terrazzo Workers and Finishers
Construction / Trades,"Installation, maintenance, or repair worker",47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
Construction / Trades,"Installation, maintenance, or repair worker",47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
Construction / Trades,"Installation, maintenance, or repair worker",47-2132.00,"Insulation Workers, Mechanical"
Construction / Trades,"Installation, maintenance, or repair worker",47-2141.00,"Painters, Construction and Maintenance"
Construction / Trades,"Installation, maintenance, or repair worker",47-2142.00,Paperhangers
Construction / Trades,"Installation, maintenance, or repair worker",47-2151.00,Pipelayers
Construction / Trades,"Installation, maintenance, or repair worker",47-2082.00,Tapers
Construction / Trades,"Installation, maintenance, or repair worker",47-2121.00,Glaziers
Construction / Trades,"Installation, maintenance, or repair worker",47-2161.00,Plasterers and Stucco Masons
Construction / Trades,"Installation, maintenance, or repair worker",47-2171.00,Reinforcing Iron and Rebar Workers
Construction / Trades,"Installation, maintenance, or repair worker",47-2181.00,Roofers
Construction / Trades,"Installation, maintenance, or repair worker",47-2211.00,Sheet Metal Workers
Construction / Trades,"Installation, maintenance, or repair worker",47-2221.00,Structural Iron and Steel Workers
Construction / Trades,"Installation, maintenance, or repair worker",47-2231.00,Solar Photovoltaic Installers
Construction / Trades,"Installation, maintenance, or repair worker",47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
Construction / Trades,"Installation, maintenance, or repair worker",47-3012.00,Helpers--Carpenters
Construction / Trades,"Installation, maintenance, or repair worker",47-3013.00,Helpers--Electricians
Construction / Trades,"Installation, maintenance, or repair worker",47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
Construction / Trades,"Installation, maintenance, or repair worker",47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
Construction / Trades,"Installation, maintenance, or repair worker",47-3016.00,Helpers--Roofers
Construction / Trades,"Installation, maintenance, or repair worker",47-3019.00,"Helpers, Construction Trades, All Other"
Construction / Trades,"Installation, maintenance, or repair worker",47-4011.00,Construction and Building Inspectors
Construction / Trades,"Installation, maintenance, or repair worker",47-4021.00,Elevator and Escalator Installers and Repairers
Construction / Trades,"Installation, maintenance, or repair worker",47-4031.00,Fence Erectors
Construction / Trades,"Installation, maintenance, or repair worker",47-4091.00,Segmental Pavers
Construction / Trades,"Installation, maintenance, or repair worker",49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
